EntryNo SensorNo        Temperature     Humidity        Light   Timestamp
1       ,               0.0             3473460         3604534 8
2       ,               0.0             3473460         3604534 8
3       ,               0.0             3473460         3604534 8
4       ,               0.0             3473460         3604534 8
5       ,               0.0             3473460         3604534 8
6       ,               0.0             3473460         3604534 8
7       ,               0.0             3473460         3604534 8
8       ,               0.0             3473460         3604534 8
9       ,               0.0             3473460         3604534 8
10      ,               0.0             3473460         3604534 8
